State,Code,District,Code,,State,Code,District,Code,,State,Code,District,Code
,,Fatehabad,4,,,,Latur,16,,,,Hathras,31
,,Hisar,5,,,,Mumbai,17,,,,Jalaun,32
,,Jhajjar,6,,,,Nagpur,18,,,,Jaunpur,33
,,Jind,7,,,,Nanded,19,,,,Jhansi,34
,,Kaithal,8,,,,Nandurbar,20,,,,Kannauj,35
,,Karnal,9,,,,Nashik,21,,,,Kanpur Dehat,36
,,Kurukshetra,10,,,,Osmanabad,22,,,,Kanpur Nagar,37
,,Mahendragarh,11,,,,Palghar,23,,,,Kaushambi,38
,,Palwal,12,,,,Parbhani,24,,,,Kushinagar,39
,,Panchkula,13,,,,Pune,25,,,,Lakhimpur Kheri,40
,,Panipat,14,,,,Raigad,26,,,,Lalitpur,41
,,Rewari,15,,,,Ratnagiri,27,,,,Lucknow,42
,,Rohtak,16,,,,Sangli,28,,,,Maharajganj,43
,,Sirsa,17,,,,Satara,29,,,,Mahoba,44
,,,,,,,Sindhudurg,30,,,,Mainpuri,45
Himachal Pradesh,7,Bilaspur,1,,,,Solapur,31,,,,Mathura,46
,,Chamba,2,,,,Thane,32,,,,Mau,47
,,Hamirpur,3,,,,Wardha,33,,,,Meerut,48
,,Kangra,4,,,,Washim,34,,,,Mirzapur,49
,,Kullu,5,,,,Yavatmal,35,,,,Moradabad,50
,,Mandi,6,,,,,,,,,Muzaffarnagar,51
,,Shimla,7,,Meghalaya,13,East Khasi Hills,1,,,,Pilibhit,52
,,Sirmaur,8,,,,West Garo Hills,2,,,,Pratapgarh,53
,,Solan,9,,,,,,,,,Prayagraj,54
,,Una,10,,Mizoram,14,Aizawl,1,,,,Rae Bareli,55
,,,,,,,,,,,,Rampur,56
Jharkhand,8,Bokaro,1,,Nagaland,15,Dimapur,1,,,,Saharanpur,57
,,Chatra,2,,,,Kohima,2,,,,Sambhal,58
,,Deoghar,3,,,,,,,,,Sant Kabir Nagar,59
,,Dhanbad,4,,Odisha,16,Angul,1,,,,Shahjahanpur,60
,,Dumka,5,,,,Balangir,2,,,,Shamli,61
,,East Singhbhum,6,,,,Balasore,3,,,,Shrawasti,62
,,Giridih,7,,,,Bargarh,4,,,,Siddharthnagar,63
,,Godda,8,,,,Bhadrak,5,,,,Sitapur,64
,,Gumla,9,,,,Cuttack,6,,,,Sonbhadra,65
,,Hazaribagh,10,,,,Dhenkanal,7,,,,Sultanpur,66
,,Jamtara,11,,,,Gajapati,8,,,,Unnao,67
,,Khunti,12,,,,Ganjam,9,,,,Varanasi,68
,,Koderma,13,,,,Jagatsinghpur,10,,,,,
,,Lohardaga,14,,,,Jajpur,11,,Uttarakhand,23,Almora,1
,,Pakur,15,,,,Jharsuguda,12,,,,Chamoli,2
,,Palamu,16,,,,Kalahandi,13,,,,Dehradun,3
,,Ramgarh,17,,,,Kandhamal,14,,,,Haridwar,4
